Struttura;Categoria;Comune;Prov.;Regione;Indirizzo;Telefono;Email;Sito web;Priorita commerciale;Note
Hotel Boracay;3*;Alba Adriatica;TE;Abruzzo;Via Cesare Battisti 171;+39 0861 713612;info@boracay.it;boracay.it;Bassa;
Hotel Doge;3*;Alba Adriatica;TE;Abruzzo;Lungomare Marconi 292;+39 0861 712508;info@hoteldoge.it;hoteldoge.it;Bassa;
Hotel Eden;4*;Alba Adriatica;TE;Abruzzo;Lungomare Marconi 328;+39 0861 714251;;;Media;Fronte mare
Hotel Impero;3*;Alba Adriatica;TE;Abruzzo;Lungomare Marconi 162;+39 0861 712422;info@hotelimpero.com;hotelimpero.com;Bassa;
Hotel Meripol;4*;Alba Adriatica;TE;Abruzzo;Lungomare Marconi 290;+39 0861 714744;;hotelmeripol.it;Media;Spiaggia privata e piscina
Hotel Sporting;3*;Alba Adriatica;TE;Abruzzo;Lungomare Marconi 308;+39 0861 712510;;;Bassa;
Resort Olympus;4*;Alba Adriatica;TE;Abruzzo;Via Olimpica 16;+39 0861 759486;info@resortolympus.it;resortolympus.it;Alta;Resort e residence
Grand Hotel Don Juan;4*;Giulianova;TE;Abruzzo;Lungomare Zara 97;+39 085 8008341;info@grandhoteldonjuan.it;grandhoteldonjuan.it;Media;Fronte mare
Hotel Baltic;3*;Giulianova;TE;Abruzzo;Lungomare Zara;+39 085 8008241;;;Bassa;
Hotel Cristallo;4*;Giulianova;TE;Abruzzo;Lungomare Zara;;;hcristallo.it;Media;Fronte mare
Hotel Europa Beach Village;4*;Giulianova;TE;Abruzzo;Lungomare Zara 57;+39 085 8003600;info@htleuropa.it;htleuropa.it;Alta;Beach village
YOUMAMI Lifestyle Suite Hotel;4*;Giulianova;TE;Abruzzo;Via De Bartolomei;+39 085 8003367;info@youmami.it;youmami.it;Alta;Suite hotel con SPA
Hotel Ambasciatori;4*;Pineto;TE;Abruzzo;Via XXV Aprile;+39 085 9492900;htlambasc@gmail.com;pineto.it;Media;Fronte mare vicino Torre del Cerrano
Elite Boutique Hotel;4*;Roseto degli Abruzzi;TE;Abruzzo;Viale Makarska 50;+39 085 2934554;;elitemare.it;Media;A 200 m dalla spiaggia
Hotel Albatros;4*;Roseto degli Abruzzi;TE;Abruzzo;Via Cerrano 7;+39 085 8996126;hotelalbatrosroseto@gmail.com;hotelalbatrosroseto.it;Media;
Hotel La Tartaruga;4*;Roseto degli Abruzzi;TE;Abruzzo;Via Marcantonio 3;+39 085 8944193;info@hotellatartaruga.it;hotellatartaruga.it;Media;
Roses Hotel;4*;Roseto degli Abruzzi;TE;Abruzzo;Viale Makarska 1;+39 085 8936203;;roseshotel.it;Media;SG Hotels Srl - fronte mare con piscina
Abruzzo Marina Hotel Beach & Resort;4*;Silvi;TE;Abruzzo;Via G. Garibaldi 242;+39 085 930397;info@hotelabruzzomarina.it;hotelabruzzomarina.it;Media;Family hotel
Hotel Hermitage;4*;Silvi Marina;TE;Abruzzo;Via Dante Alighieri 1;+39 085 9353565;info@hermitagesilvi.com;hermitagesilvi.com;Alta;Hotel Club & Spa - sale meeting
Hotel Mion;4*;Silvi Marina;TE;Abruzzo;Via Garibaldi 22;+39 085 9350935;info@mionhotel.com;mionhotel.com;Media;Fronte mare
Hotel President;4*;Silvi Marina;TE;Abruzzo;Via G. Garibaldi 242;+39 085 9350760;;hotelpresidentsilvi.it;Media;Family hotel fronte mare
Park Hotel Sporting;4*;Teramo;TE;Abruzzo;Via Alcide De Gasperi 41;;;hotelsportingteramo.it;Media;Centro storico di Teramo
Hotel Aurea;3*;Tortoreto;TE;Abruzzo;Via L. Da Vinci 46;+39 0861 786430;;;Bassa;
Hotel Ambassador;4*;Tortoreto Lido;TE;Abruzzo;Lungomare Sirena 598;+39 0861 777399;info@hotelambassador.it;hotelambassador.it;Media;Hotel 4 stelle con piscina
Hotel Quattro Palme;4*;Tortoreto Lido;TE;Abruzzo;Lungomare Sirena 256;+39 0861 1828180;info@hotelquattropalme.it;hotelquattropalme.it;Media;
Hotel Villa Elena;4*;Tortoreto Lido;TE;Abruzzo;Via Adriatica 136;+39 0861 787266;info@hotelvillaelena.it;hotelvillaelena.it;Media;
Hotel Holiday;3*;Villa Rosa di Martinsicuro;TE;Abruzzo;Via Amalfi 27/35;+39 0861 713555;info@hotelholiday.it;hotelholiday.it;Bassa;
Hotel Olimpic;3*;Villa Rosa di Martinsicuro;TE;Abruzzo;Fronte mare Villa Rosa;;;hotelolimpic.it;Bassa;
Grand Eurhotel & Residence;4*;Montesilvano;PE;Abruzzo;Viale Carlo Maresca 32;+39 085 837043;info@ghmeurhotels.com;ghmeurhotels.com;Media;Stesso gruppo del Grand Hotel Montesilvano
Grand Hotel Adriatico;3*S;Montesilvano;PE;Abruzzo;Viale Carlo Maresca 10;+39 085 4452696;;grandhoteladriatico.com;Bassa;
Grand Hotel Montesilvano;4*;Montesilvano;PE;Abruzzo;Piazzale Kennedy 28;+39 085 835887;info@ghmeurhotels.com;ghmeurhotels.com;Alta;Gruppo GHM Eurhotels - grande capacita ricettiva e congressuale
Hotel Ariminum Felicioni;3*;Montesilvano;PE;Abruzzo;Viale Carlo Maresca 3;+39 085 4450022;;;Bassa;
Hotel City;4*;Montesilvano;PE;Abruzzo;Montesilvano Marina;;;hotelcityabruzzo.com;Media;
Hotel Promenade;4*;Montesilvano;PE;Abruzzo;Via A. Moro 63;+39 085 4452221;;hotelpromenadeabruzzo.it;Media;
Serena Majestic Hotel Residence;4*;Montesilvano;PE;Abruzzo;Via Carlo Maresca 12;+39 085 8369777;;bluserena.it;Alta;Gruppo Bluserena - villaggio fronte mare di grandi dimensioni
Best Western Hotel Duca d'Aosta;4*;Pescara;PE;Abruzzo;Piazza Duca d'Aosta 4;+39 085 374241;;;Media;
G Hotel Pescara;4*;Pescara;PE;Abruzzo;Via Stazione Ferroviaria 100;+39 085 27689;info@ghotelpescara.it;ghotelpescara.it;Media;
Hotel Esplanade;4*;Pescara;PE;Abruzzo;Piazza Primo Maggio 46;+39 085 292141;reservations@esplanade.net;esplanade.net;Alta;Gruppi e meeting: gruppi-meeting@esplanade.net
Hotel Maja;4*;Pescara;PE;Abruzzo;Viale della Riviera 201;+39 085 4711545;info@hotelmaja.it;hotelmaja.it;Media;Fronte mare
Hotel Plaza;4*;Pescara;PE;Abruzzo;Piazza Sacro Cuore 55;+39 085 4214625;plaza@shotels.it;plazapescara.it;Media;
Victoria Hotel;4*;Pescara;PE;Abruzzo;Via Piave 142;+39 085 374132;hotel@victoriapescara.com;victoriapescara.com;Media;Boutique hotel centro citta
Best Western Hotel Parco Paglia;4*;Chieti;CH;Abruzzo;Via Erasmo Piaggio 13;+39 0871 574300;;;Media;Business hotel area metropolitana Chieti-Pescara
Hotel Levante;4*;Fossacesia Marina;CH;Abruzzo;Via Nazionale SS16 n.120;;;hotellevante.it;Media;Costa dei Trabocchi
Marina Gardens Boutique & Suites;4*;Francavilla al Mare;CH;Abruzzo;Via dei Marrucini 45B;+39 331 2223000;hello@marina-gardens-boutique.com;marina-gardens-boutique.com;Media;
Villa Maria Hotel & SPA;4*;Francavilla al Mare;CH;Abruzzo;Contrada Pretaro snc;+39 085 450051;info@hvillamaria.it;hvillamaria.it;Alta;Ufficio commerciale: commerciale@hvillamaria.it - congressi e SPA
Hotel Excelsior;4*;Lanciano;CH;Abruzzo;Viale della Rimembranza 19;+39 0872 713013;;hotelexcelsiorlanciano.it;Media;
Hotel Villa Medici;4*;Lanciano;CH;Abruzzo;Contrada Santa Calcagna 71/72;+39 0872 717645;info@hotelvillamediciabruzzo.it;hotelvillamediciabruzzo.it;Alta;SPA e centro benessere
Hotel Mara;4*;Ortona;CH;Abruzzo;Lido Riccio - Ortona;;;hotelmara.it;Media;Fronte spiaggia a 5 km da Ortona
Europa Hotel;4*;Vasto;CH;Abruzzo;Via Itaca 5 - Vasto Marina;+39 0873 328169;info@europahotelvasto.it;europahotelvasto.it;Alta;SPA sul mare
Hotel Excelsior;4*;Vasto;CH;Abruzzo;SS 16 Adriatica km 522 n.226 - Marina di Vasto;+39 0873 802222;info@hotelexcelsiorvasto.com;hotelexcelsiorvasto.com;Alta;Excelsior Hotel & Spa - prenotazioni@hotelexcelsiorvasto.com
Hotel San Giorgio;4*;Vasto Marina;CH;Abruzzo;Viale Dalmazia 138;+39 0873 801902;info@hotelsangiorgiovasto.it;hotelsangiorgiovasto.it;Alta;50 camere - spiaggia privata
Hotel Sporting;4*;Vasto Marina;CH;Abruzzo;SS 16 Sud - Vasto Marina;+39 0873 801908;info@hotelsportingvasto.it;hotelsportingvasto.it;Media;Tennis e piscina
Hotel Della Piana;4*;Avezzano;AQ;Abruzzo;Via Tiburtina Valeria km 112700;+39 0863 398968;info@dellapianahotel.it;dellapianahotel.it;Media;
Hotel Velino;4*;Avezzano;AQ;Abruzzo;Via Montello 9;+39 0863 412696;info@hotelvelino.it;hotelvelino.it;Media;
Sport Village Hotel & Spa;4*;Castel di Sangro;AQ;Abruzzo;Piazza del Mezzogiorno 6;+39 0864 847280;info@sportvillagehotel.it;sportvillagehotel.it;Media;Vicino piste Roccaraso
Canadian Hotel;3*;L'Aquila;AQ;Abruzzo;SS 17 localita Casermette;+39 0862 317402;;canadianhotel.it;Bassa;
Hotel Amiternum;3*;L'Aquila;AQ;Abruzzo;Localita Sant'Antonio;+39 0862 315757;info@hotelamiternum.it;hotelamiternum.it;Bassa;
Hotel Duca degli Abruzzi;4*;L'Aquila;AQ;Abruzzo;Viale Giovanni XXIII 10;+39 0862 28341;;ducadegliabruzzi.com;Alta;Hotel congressi e ristorante
Hotel L'Aquila;4*;L'Aquila;AQ;Abruzzo;Centro storico L'Aquila;;;hotel-laquila.com;Media;
Magnola Palace Hotel;4*;Ovindoli;AQ;Abruzzo;Via del Ceraso 89;+39 0863 705144;info@magnolapalacehotel.com;;Alta;78 camere - 156 posti letto - booking@magnolapalace.it
Grand Hotel del Parco;4*;Pescasseroli;AQ;Abruzzo;Via Santa Lucia 3;+39 0863 912745;bookingparco@bluhotels.it;grandhoteldelparcoabruzzo.it;Media;Gruppo Blu Hotels - piscina
Hotel Corona & Spa;4*;Pescasseroli;AQ;Abruzzo;Circonvallazione Bernardo Trillo 2;+39 0863 91731;;coronahotel.it;Media;Centro benessere
Hotel Iris;3*;Pescasseroli;AQ;Abruzzo;Pescasseroli;;;irispescasseroli.it;Bassa;Parco Nazionale d'Abruzzo
Aqua Montis Resort & Spa;4*;Rivisondoli;AQ;Abruzzo;Via Difesa snc;+39 0864 571010;;aquamontisresort.com;Alta;Resort con SPA
Cipriani Park Hotel;4*;Rivisondoli;AQ;Abruzzo;Via Gabriele D'Annunzio 159;+39 0864 641105;info@ciprianiparkhotel.com;ciprianiparkhotel.com;Media;
Hotel 5 Miglia & Spa;4*;Rivisondoli;AQ;Abruzzo;SS 17 km 134,500;;;5miglia.com;Alta;Oropedium Spa
Hotel Le Ortensie;4*;Roccaraso;AQ;Abruzzo;Via Roncone 31;+39 0864 602025;hotelleortensie@gmail.com;hotelleortensie.it;Media;Montagna
Hotel Reale;4*;Roccaraso;AQ;Abruzzo;Via Roma 50;+39 0864 602349;direzione@hotelreale.com;albergorealeroccaraso.com;Media;Montagna
Rasinus Hotel;4*;Roccaraso;AQ;Abruzzo;SP 119 Contrada Il Poggio 1;+39 0864 63386;info@rasinushotel.com;rasinushotel.com;Media;
